Date,Close,High,Low,Open,Volume
2010-01-04,217.47254943847656,218.92091542685358,216.03249524593573,217.25611759090793,4069264
2010-01-05,218.20089721679688,218.97917800721058,216.43204952643964,218.08851523463147,6895528
2010-01-06,215.01698303222656,223.33264049616184,214.35106386563345,223.33264049616184,6817288
2010-01-07,210.1849365234375,215.30835699265074,209.61473501724302,215.30835699265074,10892600
2010-01-08,205.11978149414062,210.0392682881272,204.6036981182585,209.68133261183613,12649312
2010-01-11,207.23817443847656,208.4909387895664,205.93547834903603,206.02705035270236,7849656
2010-01-12,215.3374481201172,215.92429346016058,208.0997431188903,208.0997431188903,24859680
2010-01-13,223.37432861328125,224.33158770739445,206.172807020572,206.172807020572,19704040
2010-01-14,223.89456176757812,224.9891585228678,220.60241905905156,222.99973267974417,8413904
2010-01-15,222.73333740234375,224.12343972355305,220.9311813018435,223.89452998938785,5049504
2010-01-18,223.63644409179688,223.91530585437727,221.085149572203,221.66782880676828,6140088
2010-01-19,219.4120635986328,223.74887089935152,218.76280857926392,223.08295164072248,5837512
2010-01-20,221.2266845703125,222.51690305766576,219.58686255728605,220.47335938905465,6091992
2010-01-21,218.5214080810547,221.80938453227645,216.4237664095341,220.00308254630716,6682792
2010-01-22,214.3927001953125,217.25614470156282,212.42823037486144,216.42374567971777,13486496
2010-01-25,211.62088012695312,213.9224560845612,209.59814574416217,212.26182352963207,6498712
2010-01-27,208.2870330810547,210.91742196541554,206.8636227079039,210.76342002646837,9840856
2010-01-28,207.4130096435547,212.6696009162802,206.39332092352518,209.18185742319773,12732872
2010-01-29,206.0603790283203,208.0997566434259,200.1753219748926,204.1375291480383,15012280
2010-02-01,204.04176330566406,210.59690409518822,198.9516525865665,203.68799380273737,12308784
2010-02-02,203.10122680664062,208.1830276885162,201.57793229569032,208.1830276885162,9889384
2010-02-03,205.86892700195312,208.09976049895033,203.93776528897132,203.93776528897132,6405608
2010-02-04,202.19387817382812,205.6025479303302,200.8162537983488,205.18634844059267,6176408
2010-02-05,195.8385467529297,199.64677291856708,193.86576480370428,198.97668752879824,13544872
2010-02-08,200.07545471191406,203.2718591095551,195.15596792889104,197.6864530501699,9252480
2010-02-09,205.9188232421875,206.60138620711095,199.29708659402715,200.10867543992535,10387392
2010-02-10,205.34860229492188,207.78336859987803,203.77121075325195,207.35052532122165,7187984
2010-02-11,207.970703125,209.61052492524112,205.60253227318384,205.85225194800955,6453888
2010-02-15,207.98739624023438,211.62914235959863,206.0063026090954,208.6824576284849,8950128
2010-02-16,211.5500030517578,212.34494802315209,207.12164520525604,208.09971386039993,4418096
2010-02-17,209.65219116210938,213.62689686403127,209.23184587446542,212.2784143866761,7991184
2010-02-18,210.90069580078125,212.01195623266136,209.09856068176103,210.01419928347255,3721696
2010-02-19,210.79672241210938,211.8039333681844,208.52843505338151,210.17242313906502,5998992
2010-02-22,213.7892303466797,215.7328700460994,212.68630154243354,212.68630154243354,5855400
2010-02-23,214.86715698242188,215.50810014513377,212.67794355767353,212.93599537542664,3786032
2010-02-24,214.4509735107422,216.28225143948436,212.34499982824016,213.76007822772274,5427016
2010-02-25,217.86801147460938,218.8960122872868,213.9765452372273,213.9765452372273,8729568
2010-02-26,216.58607482910156,218.9209583158927,214.93377484656517,218.0053193267388,10546368
2010-03-02,219.83657836914062,220.64816740325617,218.30911805808816,219.04996536975386,8534656
2010-03-03,221.93836975097656,222.79157867360104,219.1415011537701,220.67729347228612,5904976
2010-03-04,218.40487670898438,221.75111697730128,216.75672245078547,221.58463715975074,6755240
2010-03-05,219.39537048339844,219.75330606909503,217.50999513408738,219.24553461935818,4984808
2010-03-08,221.3806915283203,223.02884569778078,219.59519964567244,220.8354660907492,8664992
2010-03-09,223.41172790527344,224.87259223018432,217.9095826503802,220.58990339430207,7958752
2010-03-10,221.355712890625,224.03603371292215,220.5857437849605,222.6584092486092,7330952
2010-03-11,223.32847595214844,224.33152076808275,220.5857254305823,221.83432387641577,4298424
2010-03-12,222.5210723876953,225.080699424419,221.11016008555944,224.73940769062565,3176920
2010-03-15,224.8517608642578,225.78820966008306,219.4203578484715,220.95196375008095,10582856
2010-03-16,227.4405517578125,228.48936231767433,223.27439064590425,224.74773283000823,5881344
2010-03-17,227.93585205078125,229.21773854956857,225.82987824085015,227.66115628039998,6352000
2010-03-18,232.03955078125,232.5639458876091,228.07732345653926,228.07732345653926,8923048
2010-03-19,230.77012634277344,232.6555017973156,229.74627159063073,231.41523551591447,12582544
2010-03-22,229.52569580078125,231.1572059957625,228.318717231484,229.084540581521,4108528
2010-03-23,231.03237915039062,232.98851711113076,230.087598006412,230.57872568777427,4792560
2010-03-25,234.23291015625,238.8985105682062,228.98048471306018,230.6577605520904,15207528
2010-03-26,230.97824096679688,235.15271375644411,229.99184003860358,234.4035546683705,9105680
2010-03-29,226.1336669921875,230.57452380152125,224.76854075633852,229.57564499804894,13981704
2010-03-30,220.09463500976562,225.99633598636927,218.9708963225406,225.99633598636927,10649936
2010-03-31,217.75140380859375,222.80822753545678,216.97312296743317,220.9103538253712,13070104
2010-04-01,222.28799438476562,222.91645971540194,218.0885453526337,218.10518926874659,8187000
2010-04-05,222.91232299804688,223.91536802334383,219.58689250765096,222.99972897194726,7318616
2010-04-06,220.68980407714844,223.4991509465888,220.19036463369238,223.24943122486076,5348808
2010-04-07,220.0654754638672,222.650078303976,217.8720960712461,221.04771030296249,8380880
2010-04-08,221.73031616210938,222.90815279105078,218.9209691248607,219.75336824700847,7227984
2010-04-09,222.7666015625,224.55625929397726,221.83431880869009,222.25051828112666,8260312
2010-04-12,223.3409881591797,224.58125456438583,220.7563851495037,223.57404362591578,8325648
2010-04-13,231.5650634765625,232.55979651270263,219.33713062309351,223.91532500042564,57635400
2010-04-15,233.20492553710938,235.12775514563776,229.68387349780105,232.0728547023473,22395128
2010-04-16,232.12278747558594,233.8208732643087,230.66192320259788,232.4141271183147,6244344
2010-04-19,229.06788635253906,230.96159419056104,227.74437999244486,230.96159419056104,8754896
2010-04-20,227.02017211914062,232.2351434676128,226.41251681471192,230.19993207760507,9542128
2010-04-21,225.78404235839844,228.88889441325063,224.7726857933689,228.3270251388477,6496288
2010-04-22,226.2793426513672,229.97937257241207,224.16505725840594,225.41365579493623,6978144
2010-04-23,226.99099731445312,229.21766420856034,226.15028668048774,227.66108244423006,5888336
2010-04-26,227.98992919921875,229.24269380899227,226.8329026716359,227.25326824797082,4454288
2010-04-27,227.8651123046875,228.27714583947383,226.94530713487424,227.1700711740721,3280256
2010-04-28,224.70614624023438,227.40727736581906,224.0069390965195,225.58849745123865,5544496
2010-04-29,225.5093536376953,227.4863011459383,222.66671934947558,224.66447683148957,11319960
2010-04-30,227.92327880859375,229.64219459569796,222.84150018022544,225.7465639846134,8067024
2010-05-03,224.32325744628906,225.99222194518214,223.24947058245328,225.41370855230556,5408952
2010-05-04,221.93008422851562,225.2472028652403,221.04358729070424,225.16396295287325,6576208
2010-05-05,224.16502380371094,225.4136221538987,217.25611293267193,220.53575647026963,12122080
2010-05-06,221.26406860351562,223.94024281440554,220.21525835763094,223.94024281440554,7808360
2010-05-07,217.82627868652344,220.19861516392658,217.01052383335525,219.59512606002576,8984392
2010-05-10,222.72500610351562,223.39925745189166,218.088547535249,218.088547535249,5635408
2010-05-11,221.4805450439453,222.62509357137338,219.42035769457476,222.23387013917312,5802824
2010-05-12,223.2244415283203,224.65616378083342,220.77303047448285,221.0851801075413,9185176
2010-05-13,225.25967407226562,226.66227468313548,221.52221024623367,223.41591819667119,4923880
2010-05-14,220.74386596679688,226.99519011235498,218.92092042372335,225.580111919502,6824496
2010-05-17,217.78463745117188,220.42333721056994,214.43006669584366,219.3370528653291,8170824
2010-05-18,218.8542938232422,221.418086254851,214.92954151344662,221.418086254851,7144600
2010-05-19,216.6609344482422,220.7813085968899,215.87846736606602,218.58792958280594,11939240
2010-05-20,216.4862060546875,219.29971920868692,215.30003728172613,217.4226550859728,6508872
2010-05-21,214.90464782714844,217.08969556820108,212.95684196973653,213.7600990104066,7127200
2010-05-24,216.45703125,218.92094045781343,214.69651546608947,217.33938233283303,7186104
2010-05-25,210.8799285888672,215.32911695432549,208.9404554152522,215.32911695432549,8838128
2010-05-26,219.4754180908203,221.05382346432404,214.04934169246349,214.78621979848666,7868856
2010-05-27,221.3427734375,223.07190748600604,217.30252586385146,220.0406791981643,11312696
2010-05-28,224.1981201171875,224.78007907666634,220.83614032577532,223.5784841856948,6793992
2010-05-31,222.56947326660156,229.01712166446774,219.76851840839322,229.01712166446774,7020752
2010-06-01,219.75180053710938,222.52763091666668,219.1865845413662,222.318291658984,5782888
2010-06-02,221.08314514160156,222.0628485799431,219.730821988913,220.64353278974343,6557144
2010-06-03,225.9188995361328,226.5720420296755,222.73694320463798,222.73694320463798,5517096
2010-06-04,228.51048278808594,229.2682947904946,224.6167736179771,225.91886754739022,4950400
2010-06-07,223.71246337890625,226.9237354883151,221.89959374318633,226.9237354883151,7781952
2010-06-08,222.27639770507812,225.1652791218516,221.7195635223472,223.71245666682708,6651144
2010-06-09,219.802001953125,223.40682760413495,219.0944394401121,223.40682760413495,5427120
2010-06-10,221.5269012451172,222.23446355323048,219.43350953870018,219.8228722187824,5187448
2010-06-11,220.28762817382812,225.32432087446182,219.47120533825088,223.1471933129225,9912864
2010-06-14,229.97171020507812,231.01423598799832,221.90797893364163,221.90797893364163,9728848
2010-06-15,228.9919891357422,232.78522001090764,227.93693169950478,229.98007437408555,7946312
2010-06-16,231.89767456054688,232.74341343608327,229.60332421001632,230.68350672646767,5720064
2010-06-17,231.51661682128906,233.10340396318878,229.1008341320211,232.45026153161206,5639240
2010-06-18,233.30441284179688,235.71600518958752,226.74373274307843,226.74373274307843,8356232
2010-06-21,234.52694702148438,236.03418958532004,233.72726701701444,234.40970477832576,7164752
2010-06-22,231.70509338378906,234.40557005536172,231.11056166017383,233.622632982567,4763688
2010-06-23,234.27146911621094,234.87436184736998,227.58099730696708,230.03026563746448,4948088
2010-06-24,236.3607635498047,237.2818562780518,233.04065112030148,235.66575312983363,12316104
2010-06-25,232.59268188476562,235.4606300053653,232.03165670603602,235.2973494564999,3345664
2010-06-28,235.21360778808594,235.8834934635237,231.94791512032683,231.94791512032683,3834168
2010-06-29,233.9198760986328,235.59878102450446,231.70507085340896,233.87800824733068,3773072
2010-06-30,233.706298828125,235.18422550366626,228.7658933709916,232.61773491384136,9449976
2010-07-01,231.7008514404297,233.70631718212465,230.3568894905141,233.70631718212465,5847248
2010-07-02,228.38917541503906,232.3624312249853,227.42621463877032,232.3624312249853,11169440
2010-07-05,229.72471618652344,230.4406605541555,227.76111798957228,228.59847504100455,3616720
2010-07-06,233.2122344970703,234.37615219166412,229.68695443434606,229.68695443434606,5872600
2010-07-07,232.9317626953125,234.4264529842866,231.5459328952842,234.4264529842866,5923392
2010-07-08,236.84637451171875,238.34523502938924,234.4682893405665,234.96232168282933,6278192
2010-07-09,240.63963317871094,241.20065822044015,237.65027309501232,237.65027309501232,7859112
2010-07-12,242.4901885986328,243.6708700638851,238.64672841308334,238.6509192864493,8597240
2010-07-13,234.1877899169922,240.7442985021182,232.86895280563343,240.32142918093055,25502384
2010-07-14,229.67857360839844,235.21350987497192,229.18454130573093,233.61834118570425,14193928
2010-07-15,231.0770263671875,232.45028355380833,229.43579860858605,230.1852289715886,8328136
2010-07-16,232.53408813476562,233.70638818297834,230.35695947379915,230.69190234471708,8205560
2010-07-19,231.9855499267578,233.85705086959516,229.07992542643646,230.18942337467743,7047120
2010-07-20,231.0812530517578,232.9946222781502,230.56628659223236,231.9856028441368,5054736
2010-07-21,232.08604431152344,232.70150988273429,231.11053158558713,231.72180628314825,2634480
2010-07-22,230.6499481201172,231.5082389054616,228.3514076177782,231.5082389054616,8226952
2010-07-23,233.3253173828125,240.32562948627415,231.5291908588393,233.37137610256244,5323096
2010-07-26,234.8324432373047,235.2971801907491,233.6224671644804,233.6224671644804,4470816
2010-07-27,236.8715057373047,237.30692720314946,234.7111210128539,234.7111210128539,5093960
2010-07-28,237.1478271484375,237.68372732231856,235.46473180565783,236.88823836351565,3725168
2010-07-29,237.23573303222656,237.80933061613075,235.36844372743613,236.53655237191194,3613008
2010-07-30,233.4885711669922,237.07665337418,231.11048593827348,235.71594852037677,4472672
2010-08-02,234.20455932617188,235.53177833318466,232.881531192768,234.4599572968846,3815232
2010-08-03,233.1453094482422,236.0509340978595,231.90601702164665,234.8786343187286,2434584
2010-08-04,240.69825744628906,242.1636321219927,233.62259115503446,233.62259115503446,9536024
2010-08-05,240.2585906982422,243.4028694512597,239.61383007543137,241.15874922399146,6594296
2010-08-06,239.80224609375,242.1635881970567,238.81416097441416,239.56778209950872,3676480
2010-08-09,240.71070861816406,241.4015278182624,235.82055421538467,238.5210292703145,4201544
