Regime,Mean Daily Return,Median Daily Return,Daily Volatility,Annualized Volatility,Sharpe Ratio,Max Daily Gain,Max Daily Loss,Number of Observations,Percentage of Total (%)
Low Volatility Bull,0.0013267634070596949,0.001142689895157855,0.0049580787827309784,0.0787070606386321,4.247959152154331,0.02181720025235342,-0.01790346371301273,2108,51.10303030303031
High Volatility Bull,6.275243960710544e-05,9.267081642282222e-05,0.011083843009958117,0.17595055305138474,0.08987533432970995,0.03251318263492386,-0.036569391674505285,1716,41.6
Crash / Bear Regime,-0.0023789943899333783,-0.0023308535165273863,0.026776811035652475,0.425068697422238,-1.4103757578453187,0.09986278391659298,-0.11588669166535163,301,7.296969696969698
