Regime,Self-Transition Probability (P_ii),Theoretical Expected Duration,Empirical Mean Duration,Difference
Low Volatility Bull,0.955736793003048,22.592127137757135,43.916666666666664,-21.32453952890953
High Volatility Bull,0.9418546619210919,17.19828335408277,30.105263157894736,-12.906979803811968
Crash / Bear Regime,0.955751547320366,22.599660314455825,30.1,-7.500339685544176
