state,mean_return,volatility,count,frequency
0,0.0010807636951113346,0.004469219459582656,1104,0.2578836720392432
1,-2.072823222330044e-05,0.005109724564916001,1140,0.2662929222144359
2,0.0007809625394476174,0.014744990300689233,2037,0.4758234057463209
