Regime,Mean Daily Return,Median Daily Return,Daily Volatility,Annualized Volatility,Sharpe Ratio,Max Daily Gain,Max Daily Loss,Number of Observations,Frequency Percentage
Low Volatility Bull,0.0004989656445981012,0.00022099136232381475,0.012473134873081207,0.19800487766124042,0.6350315402524808,0.038704683297152,-0.03942084553939949,1934,47.76488021733761
Crash / Bear Regime,-0.0060499991886995,-0.017969661476269494,0.05632829532858055,0.8941839672937527,-1.7050180402657795,0.15516529620159192,-0.23900118302228754,172,4.247962459866634
High Volatility Bull,0.0008898970270970149,0.0009318672339940203,0.013364930277151854,0.21216169081836816,1.0569959636135813,0.0458991950430818,-0.044387346003541946,1943,47.98715732279575
